,cod_loja,data_semana_comercial,venda,localidade,loja_tamanho,clima
123,21,2021-07-04,110,1,0,4
124,57,2022-05-08,137,1,0,5
125,172,2022-05-15,233,1,0,4
126,27,2021-07-25,94,1,2,3
127,5,2021-07-25,68,1,2,5
128,91,2021-08-01,46,1,3,4
129,17,2021-08-01,158,1,2,5
130,44,2022-06-05,294,1,1,4
131,83,2022-06-05,66,1,2,2
132,312,2022-06-12,42,1,2,5
133,167,2021-08-08,42,1,2,5
134,279,2022-06-19,38,1,3,4
135,109,2022-01-09,5,1,2,3
136,161,2021-02-21,27,1,2,4
137,95,2022-07-17,12,1,2,3
138,412,2021-03-14,39,2,2,6
139,55,2022-01-30,33,1,0,4
140,137,2021-04-18,22,1,3,3
141,17,2021-04-18,70,1,2,5
142,200,2022-02-13,18,1,4,3
143,24,2021-04-25,55,1,3,4
144,181,2021-05-09,111,1,2,4
145,55,2022-03-20,37,1,0,4
146,63,2021-05-23,95,1,0,3
147,134,2021-05-30,55,1,2,4
148,196,2022-03-27,48,1,2,4
149,149,2022-04-03,99,1,1,4
151,337,2022-05-08,18,1,3,2
152,117,2021-07-11,35,1,0,4
153,2,2021-07-18,128,1,0,5
154,7,2022-05-22,19,1,3,5
155,13,2021-08-01,132,1,1,5
156,229,2022-06-05,27,1,3,3
157,82,2022-06-05,133,1,2,4
158,49,2021-12-26,44,1,1,3
159,88,2021-09-05,30,1,0,2
160,51,2021-02-14,29,1,2,3
161,157,2022-07-10,31,1,2,4
162,85,2021-09-26,29,1,1,2
163,209,2022-01-23,18,1,2,2
164,91,2022-07-24,18,1,3,4
165,42,2021-09-26,20,1,3,4
166,418,2021-03-28,115,0,0,0
167,109,2021-10-03,17,1,2,3
168,44,2021-10-10,89,1,1,4
169,166,2021-05-02,46,1,3,3
170,141,2021-05-09,92,1,2,4
171,409,2021-05-16,64,2,0,6
172,111,2021-05-16,89,1,2,3
173,99,2021-05-16,79,1,2,5
174,260,2021-05-16,41,1,4,3
175,120,2022-03-13,53,1,2,2
176,9,2021-05-23,36,1,2,5
177,37,2021-05-30,181,1,1,3
178,351,2021-06-06,38,1,3,4
179,185,2021-06-13,69,1,2,3
180,72,2022-04-10,51,1,0,2
181,55,2022-04-10,105,1,0,4
182,369,2021-07-04,25,1,4,2
183,221,2021-07-11,101,1,0,4
184,98,2022-05-15,253,1,0,4
185,95,2022-05-22,104,1,2,3
186,306,2022-05-22,40,1,3,3
187,223,2022-06-05,78,1,2,3
188,410,2021-08-22,53,2,0,6
189,267,2021-01-31,18,1,2,3
190,59,2021-02-21,31,1,2,3
191,92,2022-01-09,36,1,1,4
192,9,2021-04-11,46,1,2,5
193,304,2021-04-11,46,1,2,5
194,131,2022-08-07,7,1,3,3
195,385,2022-08-14,13,1,3,4
196,308,2021-04-25,28,1,4,4
197,269,2021-05-02,95,1,2,4
198,74,2021-05-09,33,1,0,2
199,218,2022-03-20,64,1,2,2
200,85,2021-06-06,33,1,1,2
201,360,2022-05-08,38,1,3,3
202,337,2021-07-25,7,1,3,2
203,283,2021-07-25,36,1,3,3
204,110,2022-05-29,17,1,4,3
205,98,2022-06-05,141,1,0,4
206,149,2021-08-08,57,1,1,4
207,53,2022-06-05,114,1,0,3
208,142,2021-01-31,20,1,3,2
209,302,2022-06-19,22,1,3,2
210,192,2021-02-07,7,1,2,4
211,20,2021-02-14,24,1,2,5
212,329,2021-03-07,11,1,3,3
213,106,2021-10-03,64,1,0,5
214,411,2022-07-31,69,2,0,6
215,337,2022-02-13,17,1,3,2
216,264,2022-08-21,17,1,2,2
217,7,2022-03-13,23,1,3,5
218,78,2021-05-23,85,1,2,4
219,162,2021-05-23,94,1,2,3
220,118,2021-06-20,66,1,2,4
221,46,2021-06-27,55,1,0,2
222,88,2021-06-27,40,1,0,2
223,380,2021-07-04,62,1,3,3
224,165,2022-05-15,47,1,2,2
225,82,2021-07-18,49,1,2,4
226,19,2021-07-25,126,1,1,4
227,168,2021-08-08,6,1,2,3
228,228,2021-08-08,39,1,2,2
229,341,2021-08-08,12,1,3,4
230,340,2021-08-29,5,1,3,2
231,223,2022-07-03,15,1,2,3
232,145,2021-09-12,4,1,2,2
233,414,2021-02-28,50,2,0,6
234,83,2022-07-24,24,1,2,2
235,4,2021-09-26,14,1,0,4
236,167,2021-04-04,68,1,2,5
237,75,2021-10-03,24,1,2,3
238,290,2022-02-06,15,1,0,5
239,198,2021-10-10,26,1,4,4
240,55,2021-05-30,129,1,0,4
241,136,2022-04-10,64,1,0,2
242,124,2021-06-13,16,1,2,2
243,319,2021-06-13,22,1,2,5
244,285,2022-04-17,16,1,3,3
245,338,2022-05-01,44,1,3,3
246,312,2022-05-08,53,1,2,5
247,286,2021-07-11,15,1,3,4
248,272,2021-07-11,38,1,3,3
249,257,2022-05-22,19,1,3,3
250,56,2021-08-01,25,1,2,3
251,25,2021-02-14,22,1,0,4
252,410,2022-07-17,59,2,0,6
254,320,2022-02-06,17,1,2,4
255,105,2021-04-11,38,1,2,3
256,101,2022-08-07,41,1,2,4
257,65,2022-03-13,42,1,2,5
258,58,2021-05-16,55,1,0,3
259,411,2022-03-13,47,2,0,6
261,120,2021-06-13,37,1,2,2
262,153,2022-05-08,26,1,3,3
263,336,2022-05-15,78,1,2,4
264,27,2021-08-01,50,1,2,3
265,287,2022-06-12,17,1,3,2
266,75,2022-06-26,51,1,2,3
267,213,2021-09-12,9,1,2,2
268,68,2021-04-04,63,1,2,5
269,52,2021-04-04,16,1,2,3
270,76,2022-02-06,12,1,0,4
271,211,2021-10-10,17,1,3,4
272,67,2022-03-06,20,1,2,5
273,380,2022-03-20,6,1,3,3
274,298,2022-04-10,34,1,2,2
275,223,2022-04-10,19,1,2,3
276,47,2022-04-24,39,1,2,4
277,207,2021-06-27,25,1,2,3
278,111,2021-06-27,56,1,2,3
279,203,2022-05-08,37,1,2,2
280,126,2021-07-18,49,1,2,3
281,28,2022-05-22,88,1,0,3
282,223,2021-02-14,9,1,2,3
283,126,2021-09-26,4,1,2,3
284,266,2022-07-24,31,1,2,5
285,120,2021-04-11,16,1,2,2
286,144,2021-04-11,49,1,2,5
287,71,2021-04-18,81,1,2,4
288,14,2022-08-14,51,1,2,4
289,43,2022-02-27,14,1,2,4
290,144,2022-03-06,29,1,2,5
291,277,2021-05-16,23,1,3,4
292,95,2022-04-17,85,1,2,3
293,52,2022-04-17,22,1,2,3
294,55,2022-04-24,81,1,0,4
295,133,2021-07-04,40,1,3,4
296,230,2021-07-11,28,1,3,3
297,324,2022-05-15,9,1,4,2
298,178,2021-01-10,16,1,2,2
299,122,2022-06-19,16,1,2,2
300,193,2021-01-31,13,1,2,5
301,292,2022-06-26,20,1,2,4
302,193,2021-08-29,17,1,2,5
303,248,2021-02-14,6,1,3,2
304,181,2021-09-05,15,1,2,4
305,222,2021-09-19,11,1,2,4
306,412,2021-05-16,47,2,2,6
307,109,2022-03-20,15,1,2,3
308,260,2022-03-27,16,1,4,3
309,157,2021-07-04,46,1,2,4
310,26,2021-07-11,80,1,0,4
311,339,2022-05-08,28,1,4,5
312,132,2022-05-15,72,1,3,5
313,163,2021-08-01,84,1,2,4
314,260,2022-06-05,28,1,4,3
315,207,2022-06-05,33,1,2,3
316,38,2021-01-31,104,1,1,3
317,73,2021-03-07,19,1,0,3
318,279,2021-10-03,17,1,3,4
319,348,2022-02-06,12,1,0,4
320,265,2021-04-18,19,1,2,2
321,138,2022-08-14,50,1,0,4
322,63,2022-03-06,26,1,0,3
323,372,2021-06-13,27,1,3,4
324,198,2021-07-25,67,1,4,4
325,281,2021-08-01,46,1,3,4
326,128,2021-01-31,9,1,3,4
327,218,2021-08-29,7,1,2,2
328,69,2021-02-14,13,1,0,2
329,65,2021-09-12,19,1,2,5
330,110,2021-04-11,4,1,4,3
331,54,2022-02-13,5,1,3,3
332,261,2021-05-02,59,1,3,4
333,50,2022-02-27,14,1,2,4
334,38,2022-03-13,44,1,1,3
335,82,2022-03-20,41,1,2,4
336,129,2021-06-27,31,1,3,5
337,351,2022-05-08,47,1,3,4
338,87,2021-07-18,23,1,2,2
339,66,2022-06-05,104,1,2,2
340,233,2022-06-12,20,1,2,2
341,89,2021-01-31,20,1,0,4
342,58,2022-06-26,45,1,0,3
343,161,2022-08-07,51,1,2,4
344,124,2021-05-02,22,1,2,2
345,152,2021-05-09,27,1,3,3
346,5,2022-03-06,24,1,2,5
347,121,2021-05-30,19,1,3,3
348,336,2021-07-18,33,1,2,4
349,95,2021-08-01,28,1,2,3
350,187,2022-06-12,50,1,2,4
351,185,2022-06-19,57,1,2,3
352,156,2021-08-22,4,1,4,3
353,409,2021-03-28,34,2,0,6
354,80,2022-07-31,34,1,0,2
355,205,2022-02-13,22,1,2,2
356,4,2021-10-17,25,1,0,4
357,124,2022-02-27,39,1,2,2
358,217,2021-06-06,20,1,2,2
359,299,2021-06-27,81,1,2,3
360,287,2021-07-04,26,1,3,2
361,287,2021-07-18,11,1,3,2
362,74,2021-08-01,114,1,0,2
363,362,2022-06-19,20,1,3,2
364,100,2021-02-14,57,1,1,5
365,143,2021-02-14,6,1,3,3
366,5,2021-09-12,14,1,2,5
367,181,2022-07-24,26,1,2,4
368,328,2022-01-23,14,1,2,2
369,31,2021-10-03,29,1,0,4
370,347,2021-10-03,2,1,4,3
371,173,2022-08-14,17,1,3,4
372,334,2021-05-02,49,1,3,4
373,194,2021-05-02,53,1,2,3
374,298,2021-05-09,11,1,2,2
375,350,2022-03-27,38,1,2,3
376,94,2021-06-20,17,1,2,3
377,109,2021-07-18,23,1,2,3
378,95,2021-07-18,41,1,2,3
379,293,2021-08-08,4,1,2,2
380,137,2021-01-24,12,1,3,3
381,291,2022-06-19,16,1,3,4
382,62,2021-08-29,3,1,3,4
383,333,2022-07-03,18,1,3,4
384,54,2021-02-21,7,1,3,3
385,306,2022-07-10,4,1,3,3
386,249,2022-01-16,16,1,2,2
387,349,2022-08-14,14,1,4,4
388,241,2021-10-24,1,1,3,3
389,229,2021-05-02,22,1,3,3
390,8,2022-04-03,40,1,3,5
391,263,2022-04-10,16,1,2,2
392,49,2022-04-17,58,1,1,3
393,88,2021-07-25,19,1,0,2
394,214,2021-01-31,6,1,3,3
395,20,2022-06-26,24,1,2,5
396,341,2022-06-26,18,1,3,4
397,81,2021-04-11,11,1,4,2
398,309,2022-08-07,18,1,2,2
399,123,2022-02-20,6,1,3,3
400,280,2021-05-02,50,1,3,4
401,154,2021-05-23,14,1,3,3
402,160,2021-05-23,29,1,3,5
403,325,2021-06-13,36,1,3,5
404,225,2022-05-15,72,1,2,5
405,211,2021-07-18,41,1,3,4
406,250,2021-07-25,37,1,3,4
407,122,2022-03-13,14,1,2,2
408,158,2021-06-13,24,1,2,2
409,145,2021-06-20,39,1,2,2
410,177,2021-06-20,8,1,3,2
411,80,2021-07-04,40,1,0,2
412,54,2022-05-15,55,1,3,3
413,305,2021-03-07,8,1,4,2
414,293,2022-01-23,2,1,2,2
415,378,2021-05-02,37,1,4,2
416,118,2021-02-28,16,1,2,4
417,272,2022-07-17,9,1,3,3
418,174,2021-09-19,3,1,2,2
419,73,2021-03-21,5,1,0,3
420,51,2021-04-25,73,1,2,3
421,362,2021-04-25,30,1,3,2
422,212,2021-04-25,11,1,3,3
423,217,2021-05-09,20,1,2,2
424,25,2021-07-18,55,1,0,4
425,24,2021-08-08,36,1,3,4
426,17,2021-09-12,25,1,2,5
427,11,2022-01-30,6,1,2,5
428,237,2021-10-17,24,1,3,4
429,275,2022-02-20,7,1,3,5
430,70,2022-03-13,36,1,2,2
431,93,2021-06-06,40,1,2,4
432,183,2021-06-27,18,1,2,2
433,133,2022-05-08,36,1,3,4
434,6,2021-07-11,55,1,0,4
435,226,2022-05-15,31,1,3,5
436,288,2022-05-22,6,1,4,3
437,166,2021-08-01,18,1,3,3
438,144,2021-08-15,16,1,2,5
439,261,2021-08-22,6,1,3,4
440,191,2022-06-19,14,1,3,3
441,278,2022-06-26,22,1,3,3
442,412,2021-02-07,42,2,2,6
443,199,2022-01-09,1,1,3,4
444,226,2021-05-02,84,1,3,5
445,178,2022-05-08,30,1,2,2
446,373,2022-05-29,33,1,3,5
447,234,2021-08-08,8,1,3,3
448,17,2021-02-14,19,1,2,5
449,257,2021-04-18,2,1,3,3
450,215,2021-04-25,31,1,2,3
451,139,2022-03-13,49,1,2,4
452,90,2021-05-16,16,1,4,3
453,371,2022-04-17,13,1,3,2
454,187,2021-07-18,33,1,2,4
455,189,2022-06-19,12,1,3,2
456,35,2021-08-22,4,1,0,4
457,86,2021-02-21,23,1,2,3
458,42,2021-02-28,13,1,3,4
459,25,2022-02-20,23,1,0,4
460,265,2021-05-09,38,1,2,2
461,99,2022-03-13,39,1,2,5
462,26,2022-03-13,35,1,0,4
463,166,2021-02-14,16,1,3,3
464,111,2022-07-24,31,1,2,3
465,303,2022-07-31,15,1,2,5
466,339,2021-04-18,14,1,4,5
467,258,2021-07-11,27,1,3,3
468,21,2021-12-19,20,1,0,4
469,298,2022-06-19,16,1,2,2
470,172,2022-07-03,30,1,0,4
471,64,2022-07-24,8,1,3,4
472,414,2021-09-19,24,2,0,6
473,200,2021-04-18,33,1,4,3
474,126,2021-10-24,9,1,2,3
475,162,2022-03-13,20,1,2,3
476,367,2022-04-24,9,1,3,4
477,263,2021-08-08,7,1,2,2
478,354,2022-06-19,17,1,3,5
479,39,2022-03-20,11,1,2,3
480,51,2021-01-03,23,1,2,3
481,141,2021-01-24,7,1,2,4
483,164,2022-07-24,24,1,3,5
484,216,2022-01-23,11,1,2,2
485,327,2021-04-18,18,1,3,3
487,359,2022-06-05,24,1,3,2
488,215,2021-09-12,13,1,2,3
489,298,2022-07-17,13,1,2,2
490,363,2022-07-17,8,1,4,4
491,147,2021-04-18,39,1,2,3
492,349,2022-02-13,14,1,4,4
493,242,2022-03-27,12,1,4,2
494,332,2022-05-08,53,1,3,3
495,115,2021-08-08,25,1,2,4
496,287,2022-06-19,14,1,3,2
497,208,2022-06-26,8,1,2,2
498,19,2022-01-09,9,1,1,4
499,284,2021-02-28,2,1,2,2
500,245,2021-09-19,12,1,2,2
501,164,2022-02-27,2,1,3,5
502,198,2022-04-03,13,1,4,4
503,216,2022-06-05,36,1,2,2
504,236,2022-07-24,18,1,2,3
505,31,2022-03-06,18,1,0,4
506,243,2022-03-06,9,1,4,2
507,148,2022-03-27,17,1,2,2
508,356,2022-06-05,25,1,3,2
509,230,2021-10-10,4,1,3,3
510,93,2021-05-23,30,1,2,4
511,121,2022-05-01,16,1,3,3
512,359,2021-01-03,9,1,3,2
513,215,2021-08-15,8,1,2,3
514,228,2021-12-19,17,1,2,2
515,127,2022-07-24,8,1,2,3
516,120,2021-10-24,34,1,2,2
517,331,2022-04-03,8,1,3,2
518,121,2022-04-03,14,1,3,3
519,48,2022-04-24,40,1,0,3
520,343,2021-12-26,5,1,3,3
521,200,2021-02-28,6,1,4,3
522,143,2021-03-07,11,1,3,3
523,45,2022-08-21,19,1,2,4
524,59,2022-03-20,20,1,2,3
525,267,2022-05-29,36,1,2,3
526,85,2021-08-15,7,1,1,2
527,342,2021-08-29,11,1,3,4
528,352,2021-09-05,9,1,3,5
529,294,2022-07-24,15,1,2,4
530,87,2022-07-24,13,1,2,2
531,303,2021-10-24,4,1,2,5
532,195,2022-03-27,23,1,3,3
533,184,2021-01-31,15,1,0,4
534,105,2021-12-26,6,1,2,3
535,287,2021-12-26,12,1,3,2
536,167,2021-09-05,17,1,2,5
537,204,2021-10-03,5,1,4,2
538,109,2022-02-06,7,1,2,3
539,107,2022-02-27,28,1,2,2
540,184,2021-08-15,16,1,0,4
541,123,2021-02-28,2,1,3,3
542,363,2021-10-03,6,1,4,4
543,278,2022-02-20,7,1,3,3
544,39,2022-02-20,8,1,2,3
545,173,2022-04-03,13,1,3,4
546,326,2022-04-24,14,1,3,5
547,324,2021-08-29,4,1,4,2
548,273,2022-01-09,2,1,3,3
549,377,2022-07-24,3,1,2,2
550,259,2021-05-09,19,1,2,2
551,308,2022-04-24,5,1,4,4
552,213,2021-07-11,17,1,2,2
553,95,2022-06-26,25,1,2,3
554,364,2022-06-26,5,1,4,4
555,135,2022-07-10,13,1,2,4
556,359,2022-07-17,2,1,3,2
557,17,2021-09-19,15,1,2,5
558,259,2021-09-12,17,1,2,2
559,29,2022-07-31,8,1,2,3
560,419,2022-02-27,17,0,0,0
561,88,2021-03-07,19,1,0,2
562,121,2022-02-06,13,1,3,3
563,164,2022-02-13,6,1,3,5
564,128,2022-05-01,28,1,3,4
565,22,2022-06-26,33,1,2,4
566,417,2022-02-13,17,0,0,0
567,248,2021-08-22,2,1,3,2
568,22,2021-09-26,5,1,2,4
569,54,2022-04-10,8,1,3,3
570,295,2021-12-26,7,1,2,2
571,32,2022-08-21,27,1,2,3
572,367,2021-05-02,15,1,3,4
573,75,2021-08-08,16,1,2,3
574,184,2021-12-19,22,1,0,4
575,312,2022-07-03,9,1,2,5
576,276,2022-08-21,16,1,3,4
577,349,2022-04-17,25,1,4,4
578,325,2022-07-03,12,1,3,5
579,47,2022-01-09,4,1,2,4
580,262,2022-02-06,3,1,4,4
581,363,2021-04-18,19,1,4,4
582,143,2022-02-20,5,1,3,3
583,48,2021-05-09,41,1,0,3
584,44,2021-08-22,13,1,1,4
585,120,2022-08-07,25,1,2,2
586,293,2022-08-14,24,1,2,2
587,231,2022-05-08,70,1,2,3
588,200,2022-07-03,11,1,4,3
589,217,2021-04-04,19,1,2,2
590,85,2022-04-03,34,1,1,2
591,371,2022-01-02,5,1,3,2
592,82,2021-09-26,8,1,2,4
593,279,2021-10-31,20,1,3,4
594,291,2021-05-23,30,1,3,4
595,289,2022-05-01,5,1,3,2
596,102,2021-09-05,22,1,2,4
597,420,2022-07-10,23,0,0,0
598,95,2022-08-21,15,1,2,3
599,354,2022-04-24,28,1,3,5
600,18,2021-08-29,7,1,0,4
601,295,2021-08-29,1,1,2,2
602,370,2022-03-27,16,1,4,5
603,234,2021-05-16,25,1,3,3
604,234,2021-05-30,20,1,3,3
605,310,2021-07-18,15,1,4,3
606,130,2021-09-05,5,1,2,4
607,193,2021-02-14,29,1,2,5
608,73,2021-02-28,14,1,0,3
609,417,2021-06-06,2,0,0,0
610,377,2021-08-15,9,1,2,2
611,198,2022-01-16,1,1,4,4
612,178,2022-07-24,8,1,2,2
613,351,2022-07-10,19,1,3,4
614,237,2022-08-21,16,1,3,4
615,121,2021-07-25,17,1,3,3
616,153,2021-08-22,1,1,3,3
617,299,2022-01-23,1,1,2,3
618,185,2021-10-24,6,1,2,3
619,226,2022-01-16,3,1,3,5
620,308,2021-10-03,3,1,4,4
621,285,2022-03-06,4,1,3,3
622,96,2022-04-03,18,1,2,3
623,145,2021-08-01,5,1,2,2
624,247,2021-09-26,17,1,3,2
625,64,2021-10-24,2,1,3,4
626,314,2021-07-18,13,1,4,4
627,157,2021-03-07,6,1,2,4
628,47,2021-02-28,25,1,2,4
629,37,2022-01-16,9,1,1,3
630,286,2021-06-27,27,1,3,4
631,300,2022-05-29,5,1,4,2
632,382,2022-06-19,6,1,4,3
633,91,2022-07-17,9,1,3,4
634,306,2022-06-12,29,1,3,3
635,152,2021-02-28,12,1,3,3
636,160,2021-09-19,14,1,3,5
637,301,2022-07-17,8,1,2,3
638,155,2021-03-14,4,1,2,2
639,187,2022-02-13,14,1,2,4
640,295,2021-02-28,30,1,2,2
641,261,2022-01-30,2,1,3,4
642,174,2022-02-20,16,1,2,2
643,63,2021-07-18,35,1,0,3
644,30,2022-02-13,20,1,1,3
645,49,2022-03-27,18,1,1,3
646,299,2021-12-19,4,1,2,3
647,169,2021-02-21,8,1,3,3
648,140,2022-02-27,6,1,2,3
649,139,2021-08-08,8,1,2,4
650,32,2022-01-16,0,1,2,3
651,55,2021-12-19,13,1,0,4
652,306,2021-05-30,11,1,3,3
653,338,2022-06-19,17,1,3,3
654,367,2022-01-23,4,1,3,4
655,235,2022-07-31,5,1,2,2
656,355,2021-01-17,6,1,3,3
657,102,2021-08-22,4,1,2,4
658,287,2022-04-10,20,1,3,2
659,355,2021-06-20,8,1,3,3
660,305,2021-01-24,9,1,4,2
661,318,2022-01-23,9,1,2,4
662,170,2021-09-26,4,1,3,3
663,373,2022-01-23,0,1,3,5
664,45,2022-06-19,17,1,2,4
665,8,2021-09-12,11,1,3,5
666,297,2021-10-03,1,1,2,3
667,296,2022-03-27,6,1,3,3
668,260,2022-06-12,18,1,4,3
669,369,2022-07-10,11,1,4,2
670,397,2022-07-17,11,1,3,5
671,281,2022-03-13,5,1,3,4
672,165,2021-01-24,15,1,2,2
673,105,2021-05-23,24,1,2,3
674,177,2021-06-27,5,1,3,2
675,308,2021-01-24,4,1,4,4
676,253,2021-01-31,5,1,2,3
677,283,2021-02-07,9,1,3,3
678,147,2021-09-12,4,1,2,3
679,329,2021-07-11,18,1,3,3
680,334,2021-10-10,6,1,3,4
681,183,2021-08-08,3,1,2,2
682,316,2021-03-07,13,1,2,2
683,109,2022-02-27,17,1,2,3
684,256,2021-01-31,3,1,4,2
685,121,2022-01-23,5,1,3,3
686,154,2022-07-24,7,1,3,3
687,56,2021-01-31,8,1,2,3
688,73,2021-10-17,23,1,0,3
689,364,2022-07-17,9,1,4,4
690,56,2021-04-11,11,1,2,3
691,234,2021-02-07,24,1,3,3
692,288,2022-02-06,3,1,4,3
693,15,2021-10-31,17,1,2,4
694,173,2022-04-17,19,1,3,4
695,8,2021-02-07,4,1,3,5
696,325,2021-02-14,7,1,3,5
697,263,2022-02-06,16,1,2,2
698,357,2021-10-24,3,1,3,4
699,206,2022-03-06,11,1,2,4
700,148,2022-03-06,12,1,2,2
701,25,2021-03-07,2,1,0,4
702,266,2022-01-16,1,1,2,5
703,359,2021-04-04,6,1,3,2
704,328,2022-02-13,11,1,2,2
705,220,2021-08-29,7,1,4,4
706,90,2022-02-06,7,1,4,3
707,121,2022-03-13,9,1,3,3
708,197,2021-10-10,1,1,4,3
709,94,2021-08-22,3,1,2,3
710,277,2022-02-20,8,1,3,4
711,282,2022-02-27,6,1,4,3
712,174,2022-01-16,1,1,2,2
713,364,2021-01-03,6,1,4,4
714,241,2021-01-17,7,1,3,3
715,356,2022-06-26,7,1,3,2
716,96,2021-12-26,1,1,2,3
717,223,2022-01-09,6,1,2,3
718,409,2021-03-21,23,2,0,6
719,200,2022-06-26,6,1,4,3
720,355,2021-03-14,3,1,3,3
721,345,2022-08-07,11,1,4,3
722,15,2019-05-19,59,1,2,4
723,277,2019-05-26,41,1,3,4
724,31,2019-06-02,96,1,0,4
725,102,2019-01-13,4,1,2,4
726,268,2019-01-27,6,1,2,4
727,20,2019-07-14,82,1,2,5
728,181,2019-08-04,85,1,2,4
729,309,2019-08-04,9,1,2,2
731,90,2019-08-25,7,1,4,3
732,75,2019-04-21,14,1,2,3
733,183,2021-12-12,11,1,2,2
734,79,2021-09-05,1,1,3,3
735,238,2021-03-14,19,1,3,2
736,58,2022-08-21,20,1,0,3
737,256,2019-05-05,35,1,4,2
738,254,2018-12-16,26,1,3,2
739,55,2019-05-12,117,1,0,4
740,253,2019-05-12,40,1,2,3
741,1,2019-05-12,246,1,0,5
