,cod_loja,data_semana_comercial,venda
73313,406,2019-05-26,774
73335,406,2019-07-14,619
74270,406,2020-04-12,822
74272,406,2017-03-19,55
74410,406,2020-06-21,4833
74421,406,2018-10-07,221
74463,407,2020-09-06,74
75351,406,2021-07-04,1045
75420,406,2022-02-13,277
76053,406,2019-01-20,223
76058,406,2019-02-24,256
76146,406,2017-12-24,34
76240,406,2017-08-20,257
76252,406,2017-11-19,95
76423,406,2018-06-03,409
76606,406,2019-04-07,437
76966,406,2017-01-29,22
76970,406,2020-01-26,190
77088,406,2020-07-19,3946
77092,407,2020-07-26,325
77124,406,2020-08-30,2051
78110,407,2022-07-10,77
78235,407,2022-04-10,119
78269,407,2021-02-14,156
78391,407,2021-09-12,30
78443,407,2022-02-20,37
78515,407,2022-07-03,97
78751,407,2021-01-10,4
78927,406,2018-03-11,134
79027,406,2017-05-21,177
79075,406,2018-03-04,147
79192,406,2018-01-07,25
79564,406,2019-11-10,507
79922,406,2018-09-23,166
79934,407,2020-08-16,328
79948,406,2020-11-15,1711
80028,406,2018-11-18,521
80826,406,2022-01-16,247
80848,406,2022-07-10,611
80857,407,2022-03-13,97
80895,407,2021-04-11,228
80945,406,2021-06-20,700
80957,407,2022-06-26,93
80959,406,2022-08-07,1189
81059,407,2021-06-20,72
81937,406,2017-06-18,69
82027,406,2018-01-28,50
82371,406,2019-10-20,309
82592,406,2020-05-03,897
82712,406,2018-09-16,243
82763,406,2018-11-04,443
83626,407,2021-03-21,126
83627,406,2021-03-21,336
83743,406,2021-05-16,1149
83811,406,2022-03-20,555
84461,406,2019-02-17,442
84825,406,2017-09-24,57
85319,406,2021-12-05,245
85397,406,2020-02-09,503
85600,406,2020-09-27,894
85653,406,2018-07-29,454
85689,406,2017-02-05,27
86571,406,2022-06-12,644
86580,406,2022-02-06,301
86604,406,2022-01-30,304
86632,406,2022-03-06,301
86656,407,2021-05-16,134
86729,407,2022-04-24,93
86865,407,2021-01-31,52
87185,406,2019-03-10,523
87280,406,2017-12-17,39
88063,406,2017-04-02,70
88075,407,2021-12-05,52
88091,407,2021-11-07,146
89347,406,2021-01-24,291
89375,406,2021-07-18,893
89378,406,2022-05-22,1138
89383,406,2022-06-05,814
89427,407,2021-04-04,234
89436,407,2021-05-02,242
89456,407,2021-03-07,270
89460,406,2022-02-27,210
89461,407,2021-10-24,125
89585,407,2022-06-19,89
89652,407,2021-02-21,130
89738,407,2022-05-22,107
90117,407,2021-09-19,28
90287,406,2019-07-21,537
90338,406,2017-08-13,84
90515,406,2018-01-14,38
90533,406,2018-05-06,178
90605,406,2017-04-09,110
90607,406,2017-05-14,255
91432,407,2021-11-28,31
91530,406,2020-04-26,564
91748,406,2020-11-01,1819
91918,406,2018-07-15,233
